交易 週別,交易 日數,開盤,最高,最低,收盤,漲跌,漲跌 (%),振幅 (%),成交張數,成交張數,成交金額,成交金額,法人買賣超(千張),法人買賣超(千張),法人買賣超(千張),法人買賣超(千張),外資 持股 (%),融資(千張),融資(千張),融券(千張),融券(千張),券資 比 (%)
交易 週別,交易 日數,開盤,最高,最低,收盤,漲跌,漲跌 (%),振幅 (%),千張,日均,億元,日均,外資,投信,自營,合計,外資 持股 (%),增減,餘額,增減,餘額,券資 比 (%)
24W49,1,177.0,186.0,175.0,185.0,8.0,4.52,6.21,0.05,0.05,0.09,0.09,0.0,0,0,0.0,0.58,,,,,
24W48,5,172.0,190.0,174.5,177.0,5.0,2.91,9.01,0.19,0.04,0.34,0.07,-0.01,0,0,-0.01,0.56,,,,,
24W47,5,181.5,181.5,169.0,172.0,-9.5,-5.23,6.89,0.25,0.05,0.43,0.09,0.0,0,0,0.0,0.59,,,,,
24W46,5,190.0,191.0,179.0,181.5,-8.5,-4.47,6.32,0.22,0.04,0.42,0.08,0.0,0,0,0.0,0.58,,,,,
24W45,5,190.5,203.0,186.5,190.0,-0.5,-0.26,8.66,0.23,0.05,0.45,0.09,0.0,0,0,0.0,0.59,,,,,
24W44,4,187.5,192.0,184.0,190.5,3.0,1.6,4.27,0.16,0.04,0.3,0.07,-0.01,0,0,-0.01,0.61,,,,,
24W43,5,189.5,192.5,181.0,187.5,-2.0,-1.06,6.07,0.12,0.02,0.23,0.05,0.0,0,0,0.0,0.63,,,,,
24W42,5,189.0,194.0,185.0,189.5,0.5,0.26,4.76,0.12,0.02,0.22,0.04,-0.02,0,0,-0.02,0.61,,,,,
24W41,4,193.5,193.5,187.0,189.0,-4.5,-2.33,3.36,0.08,0.02,0.16,0.04,0.0,0,0,0.0,0.7,,,,,
24W40,3,199.5,199.5,181.0,193.5,-6.0,-3.01,9.27,0.29,0.1,0.55,0.18,0.0,0,0,0.0,0.7,,,,,
